CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
DLCOL549,PUENTE NARANJO,LERMA SANTIAGO PACIFICO,COLIMA,COLIMA,COAHUAYANA 1,RIO COAHUAYANA,LÓTICO,RÍO,"-103,50256","19,16461",2012-2021,<2,Excelente,"20,45",Aceptable,"126,7",Aceptable,15531,Fuertemente contaminada,301,Buena calidad,,,"102,3",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL552,PASO POTRERILLOS,LERMA SANTIAGO PACIFICO,COLIMA,COLIMA,COAHUAYANA 1,RIO COAHUAYANA,LÓTICO,RÍO,"-103,50424","18,95295",2012-2021,<2,Excelente,"22,05",Aceptable,"62,31",Buena calidad,4352,Contaminada,249,Buena calidad,,,"100,76",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL553,LAS CONCHAS,LERMA SANTIAGO PACIFICO,COLIMA,IXTLAHUACÁN,COAHUAYANA 1,RIO SALADO,LÓTICO (HUMEDAL),RÍO,"-103,63775","18,87958",2012-2021,<2,Excelente,"11,995",Buena calidad,<10,Excelente,11199,Fuertemente contaminada,482,Buena calidad,,,"103,835",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL5538,A.P. EL NARANJAL,LERMA SANTIAGO PACIFICO,COLIMA,VILLA DE ÁLVAREZ,Armería,ARROYO EL NARANJAL,LÓTICO,ARROYO,"-103,65246","19,40773",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,"283,5",Aceptable,206,Buena calidad,,,"78,8",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLCOL5539,A.P OBRA DE TOMA LA LIMA NUEVO NARANJAL,LERMA SANTIAGO PACIFICO,COLIMA,VILLA DE ÁLVAREZ,Armería,ARROYO NUEVO NARANJAL,LÓTICO,ARROYO,"-103,67206","19,40570",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,1499,Contaminada,384,Buena calidad,,,"89,35",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL554,DERIVADORA CALLEJONES,LERMA SANTIAGO PACIFICO,COLIMA,TECOMÁN,COAHUAYANA 2,RIO COAHUAYANA,LÓTICO (HUMEDAL),RÍO,"-103,62505","18,83518",2012-2021,<2,Excelente,"21,845",Aceptable,"38,39",Buena calidad,"5980,5",Contaminada,"585,5",Aceptable,,,"95,55",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL5541,BARRANCA MONTE GRANDE,LERMA SANTIAGO PACIFICO,COLIMA,CUAUHTéMOC,Coahuayana 1,ARROYO BARRANCA MONTE GRANDE,LÓTICO,ARROYO,"-103,58024","19,40362",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,1539,Contaminada,187,Buena calidad,,,"94,8",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL5542,ARROYO MONTE GRANDE M. D. (MARGEN DERECHA),LERMA SANTIAGO PACIFICO,COLIMA,CUAUHTéMOC,Coahuayana 1,ARROYO NARANJO,LÓTICO,ARROYO,"-103,58248","19,40441",2012-2021,<2,Excelente,"13,015",Buena calidad,<10,Excelente,855,Aceptable,233,Buena calidad,,,"87,8",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLCOL5543,OBRA DE TOMA LA HEMBRILLA,LERMA SANTIAGO PACIFICO,COLIMA,CUAUHTéMOC,Coahuayana 1,ARROYO LA HEMBRILLA,LÓTICO,ARROYO,"-103,61676","19,42499",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,1246,Contaminada,670,Aceptable,,,"84,9",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL556,DESEMBOCADURA RIO COAHUAYANA,LERMA SANTIAGO PACIFICO,MICHOACAN DE OCAMPO,AQUILA,COAHUAYANA 2,TRANSICION RIO - MAR,LÓTICO - COSTERO (HUMEDAL),OCÉANO-MAR,"-103,73711","18,68668",2012-2021,<2,Excelente,"27,942",Aceptable,40,Buena calidad,15531,Fuertemente contaminada,860,Contaminada,134,Buena calidad,"86,6",Excelente,"87,9",Excelente,"78,2345",Excelente,"76,386",Excelente,<1,No Toxico,"2,2",Toxicidad moderada,,,,,<1,No Toxico,<1,No Toxico,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,SI,SI,SI,COSTERO
DLCOL557,CANAL BOCA DE APIZA,LERMA SANTIAGO PACIFICO,COLIMA,TECOMÁN,COAHUAYANA 2,PLAYA BOCA DE APIZA-EL CHUPADERO-EL TECUANILLO,COSTERO (HUMEDAL),OCÉANO-MAR,"-103,74891","18,70275",2012-2021,,,,,"14,5",Excelente,14136,Fuertemente contaminada,,,237,Contaminada,,,"46,7",Aceptable,"99,1",Excelente,"94,3",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Rojo,"CF,ENT_FEC,",ND,ND,SI,NO,ND,NO,SI,SI,COSTERO
DLCOL558,EL CHUPADERO TECUANILLO 3,LERMA SANTIAGO PACIFICO,COLIMA,TECOMÁN,COAHUAYANA-COLIMA,PLAYA BOCA DE APIZA-EL CHUPADERO,COSTERO (HUMEDAL),OCÉANO-MAR,"-103,80032","18,74973",2012-2021,,,,,<10,Excelente,2359,Contaminada,,,10,Excelente,,,"60,3",Buena calidad,"55,6",Buena calidad,"50,1",Buena calidad,,,,,,,,,<1,No Toxico,"1,4",Toxicidad moderada,Amarillo,"CF,",ND,ND,SI,NO,ND,SI,SI,SI,COSTERO
DLCOL560,LAGUNA DE AMELA,LERMA SANTIAGO PACIFICO,COLIMA,TECOMÁN,COAHUAYANA 2,LAGUNA DE AMELA,LÉNTICO (HUMEDAL),LAGO,"-103,77320","18,81111",2012-2021,<2,Excelente,"21,84",Aceptable,20,Excelente,2046,Contaminada,30,Excelente,,,,,"96,7",Excelente,"83,4",Excelente,"79,6",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
DLCOL561,LAGUNA DE ALCUZAHUE,LERMA SANTIAGO PACIFICO,COLIMA,TECOMÁN,COAHUAYANA 2,LAGUNA DE ALCUZAHUE,LÉNTICO (HUMEDAL),LAGO,"-103,77939","18,91745",2012-2021,10,Aceptable,"62,16",Contaminada,"36,36",Buena calidad,2143,Contaminada,110,Excelente,,,,,"123,3",Aceptable,"102,3",Excelente,"104,2",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LENTICO
DLCOL563,AGUAS ABAJO COLONIA RUIZ CORTINEZ,LERMA SANTIAGO PACIFICO,COLIMA,ARMERÍA,ARMERÍA,RIO ARMERIA,LÓTICO (HUMEDAL),RÍO,"-103,94326","18,92628",2012-2021,<2,Excelente,"14,21",Buena calidad,"22,165",Excelente,"10830,5",Fuertemente contaminada,185,Buena calidad,,,"99,55",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL565W1,BOCA DE PASCUALES,LERMA SANTIAGO PACIFICO,COLIMA,TECOMÁN,ARMERÍA,TRANSICION RIO - MAR,LÉNTICO - COSTERO,ESTERO,"-103,96651","18,86184",2012-2021,<2,Excelente,"22,68",Aceptable,12,Excelente,24196,Fuertemente contaminada,2481,Fuertemente contaminada,52,Excelente,,,"93,95",Excelente,"60,2775",Buena calidad,"90,846",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,SI,SI,SI,COSTERO
DLCOL568W1,ESTERO TECUANILLO,LERMA SANTIAGO PACIFICO,COLIMA,TECOMÁN,COAHUAYANA 2,PLAYA BOCA DE APIZA-EL CHUPADERO-EL TECUANILLO,LÉNTICO - COSTERO,ESTERO,"-103,89779","18,81339",2012-2021,<2,Excelente,"22,405",Aceptable,<10,Excelente,8164,Contaminada,229,Buena calidad,63,Excelente,,,"75,65",Excelente,"75,37",Excelente,"42,03",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,SI,SI,SI,COSTERO
DLCOL569,PUENTE PERIQUILLOS,LERMA SANTIAGO PACIFICO,COLIMA,ARMERÍA,ARMERÍA,RIO ARMERIA,LÓTICO (HUMEDAL),RÍO,"-103,94611","18,95472",2012-2021,<2,Excelente,"12,935",Buena calidad,<10,Excelente,"7932,5",Contaminada,"217,5",Buena calidad,,,"102,3",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL570,ARROYO CHARCOVERDE,LERMA SANTIAGO PACIFICO,COLIMA,ARMERÍA,ARMERÍA,ARROYO CHARCO VERDE,LÓTICO,ARROYO,"-103,95161","18,96534",2012-2021,<2,Excelente,"11,105",Buena calidad,<10,Excelente,5794,Contaminada,199,Buena calidad,,,"94,65",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL574,DERIVADORA JALA 1,LERMA SANTIAGO PACIFICO,COLIMA,TECOMÁN,ARMERÍA,RIO ARMERIA,LÓTICO,RÍO,"-103,88231","19,11253",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,6488,Contaminada,156,Buena calidad,,,"96,53",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL575,DERIVADORA JALA 2,LERMA SANTIAGO PACIFICO,COLIMA,TECOMÁN,ARMERÍA,RIO COLIMA,LÓTICO (HUMEDAL),RÍO,"-103,88447","19,11089",2012-2021,<2,Excelente,"16,3296",Buena calidad,11,Excelente,9139,Contaminada,279,Buena calidad,,,"99,7",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL578,AGUAS ARRIBA DEL POBLADO PEÑA COLORADA,LERMA SANTIAGO PACIFICO,COLIMA,MINATITLÁN,RÍO MARABASCO A,RIO MARABASCO,LÓTICO,RÍO,"-104,08454","19,36876",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,2286,Contaminada,512,Buena calidad,,,"102,2",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL579,AGUAS ABAJO DEL POBLADO PEÑA COLORADA,LERMA SANTIAGO PACIFICO,COLIMA,MINATITLÁN,RÍO MARABASCO A,RIO MARABASCO,LÓTICO,RÍO,"-104,10577","19,34550",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,2909,Contaminada,144,Buena calidad,,,102,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL580,SAN JOSE PATICAJO,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO A,RIO MARABASCO,LÓTICO,RÍO,"-104,15924","19,30604",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,4352,Contaminada,420,Buena calidad,,,"104,7",Excelente,,,,,,,"5,7",Toxicidad alta,<1,No Toxico,,,,,,,,,Rojo,"CF,TOX_L,",SI,SI,SI,NO,SI,ND,SI,NO,LOTICO
DLCOL581,ARROYO SAN JOSE,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO A,RIO MARABASCO,LÓTICO,RÍO,"-104,31712","19,27994",2012-2021,<2,Excelente,"12,235",Buena calidad,"10,67",Excelente,2755,Contaminada,110,Excelente,,,"102,4",Excelente,,,,,,,<1,No Toxico,"1,5",Toxicidad moderada,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL582,DERIVADORA LAS PAROTAS,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO A,RIO MARABASCO,LÓTICO (HUMEDAL),RÍO,"-104,53696","19,25073",2012-2021,<2,Excelente,"14,855",Buena calidad,"15,25",Excelente,3654,Contaminada,147,Buena calidad,,,"97,95",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOL583,DESEMBOCADURA RIO MARABASCO II,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO A,RÍO MARABASCO,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,"-104,58758","19,15187",2012-2021,<2,Excelente,"12,26",Buena calidad,25,Excelente,7270,Contaminada,166,Buena calidad,355,Contaminada,"93,7",Excelente,"86,2",Excelente,"103,4",Excelente,103,Excelente,<1,No Toxico,<1,No Toxico,,,,,<1,No Toxico,<1,No Toxico,Rojo,"CF,ENT_FEC,",SI,SI,SI,NO,SI,NO,SI,SI,COSTERO
DLCOL584,FONDO DE LA LAGUNA DE JULUAPAN,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA DE JULUAPAN,COSTERO (HUMEDAL),LAGUNA,"-104,40282","19,11945",2012-2021,,,,,"35,5238",Buena calidad,3448,Contaminada,,,"61,5",Excelente,,,"93,2",Excelente,"76,73",Excelente,"64,28",Buena calidad,,,,,,,,,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",ND,ND,SI,NO,ND,SI,SI,SI,COSTERO
DLCOL585,CENTRO LAGUNA DE JULUAPAN,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA DE JULUAPAN,COSTERO (HUMEDAL),LAGUNA,"-104,40465","19,11115",2012-2021,,,,,"27,25",Buena calidad,910,Aceptable,,,10,Excelente,,,"90,25",Excelente,"77,55",Excelente,"70,1",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL586,DESEMBOCADURA LAGUNA DE JULUAPAN,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA DE JULUAPAN,COSTERO,LAGUNA,"-104,39872","19,10450",2012-2021,,,,,"15,83335",Excelente,313,Aceptable,,,15,Excelente,,,"103,4",Excelente,,,,,,,<1,No Toxico,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL587,PLAYA MIRAMAR (FRENTE AL HOTEL DELFOS),LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,"-104,39407","19,11362",2012-2021,,,,,<10,Excelente,10,Excelente,,,<3,Excelente,,,"105,7",Excelente,104,Excelente,"101,2",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL588,PLAYA MIRAMAR (FRENTE AL HOTEL GRAN FESTIVALL),LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,"-104,37769","19,11592",2012-2021,,,,,<10,Excelente,20,Excelente,,,<3,Excelente,,,"105,2",Excelente,"103,5",Excelente,"102,05",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL589,PLAYA MIRAMAR (FRENTE AL HOTEL VISTA PLAYA DE ORO),LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,"-104,36697","19,11735",2012-2021,,,,,<10,Excelente,10,Excelente,,,<3,Excelente,,,"103,8",Excelente,"103,85",Excelente,"102,25",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL590,DESEMBOCADURA ARROYO SANTIAGO,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,PRANSICION RIO-MAR,LÓTICO - COSTERO,ESTERO,"-104,35258","19,11425",2012-2021,<2,Excelente,"22,896",Aceptable,"15,5",Excelente,24196,Fuertemente contaminada,1267,Fuertemente contaminada,712,Fuertemente contaminada,"94,3",Excelente,"95,05",Excelente,,,,,<1,No Toxico,<1,No Toxico,,,,,<1,No Toxico,<1,No Toxico,Rojo,"CF,E_COLI,ENT_FEC,",SI,SI,SI,NO,NO,NO,SI,SI,COSTERO
DLCOL591,PLAYA LA AUDIENCIA,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,"-104,35351","19,10265",2012-2021,,,,,<10,Excelente,20,Excelente,,,<3,Excelente,,,"100,2",Excelente,"98,515",Excelente,"95,75",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL592W1,ARROYO SALAGUA,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,TRANSICION RIO - MAR,LÓTICO - COSTERO,ESTUARIO,"-104,34090","19,10442",2012-2021,<2,Excelente,"19,968",Buena calidad,<10,Excelente,24196,Fuertemente contaminada,3654,Fuertemente contaminada,"167,5",Buena calidad,74,Excelente,"73,2",Excelente,,,,,<1,No Toxico,<1,No Toxico,,,,,<1,No Toxico,<1,No Toxico,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,SI,SI,SI,COSTERO
DLCOL595W1,LAGUNA VALLE DE LAS GARZAS MANZANILLO,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA COSTERA,LÉNTICO - COSTERO (HUMEDAL),LAGUNA,"-104,30395","19,08616",2012-2021,"21,42",Aceptable,"160,14",Contaminada,80,Aceptable,24196,Fuertemente contaminada,"20762,5",Fuertemente contaminada,2251,Fuertemente contaminada,,,"92,8",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"DQO,CF,E_COLI,ENT_FEC,",SI,NO,SI,NO,NO,NO,SI,SI,COSTERO
DLCOL596,PUERTO INTERIOR SAN PEDRITO,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,"-104,30353","19,06152",2012-2021,,,,,"15,33",Excelente,98,Excelente,,,10,Excelente,,,"96,3",Excelente,"92,75",Excelente,"86,4",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL597,PLAYA SAN PEDRITO,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,"-104,30674","19,05731",2012-2021,,,,,"11,1",Excelente,69,Excelente,,,<3,Excelente,,,"99,23",Excelente,"97,735",Excelente,"97,7",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL598,EL TUNEL COOPERATIVA DE PESCADORES,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA DE CUYUTLAN,COSTERO (HUMEDAL),LAGUNA,"-104,31192","19,05033",2012-2021,,,,,14,Excelente,"1487,5",Contaminada,,,134,Buena calidad,,,"84,115",Excelente,"76,05",Excelente,"87,65",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",ND,ND,SI,NO,ND,SI,SI,SI,COSTERO
DLCOL599,PUENTE DEL FERROCARRIL,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA DE CUYUTLAN,COSTERO (HUMEDAL),LAGUNA,"-104,31573","19,03365",2012-2021,,,,,"36,41665",Buena calidad,2143,Contaminada,,,52,Excelente,,,"96,35",Excelente,"89,655",Excelente,"74,5",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",ND,ND,SI,NO,ND,SI,SI,SI,COSTERO
DLCOL600,RAMADA DE VENTANAS,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA DE CUYUTLAN,COSTERO (HUMEDAL),LAGUNA,"-104,32828","19,03271",2012-2021,,,,,"21,625",Excelente,1976,Contaminada,,,30,Excelente,,,"80,685",Excelente,"105,15",Excelente,"105,15",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",ND,ND,SI,NO,ND,SI,SI,SI,COSTERO
DLCOL601,CANAL VENTANAS,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,OCEANO PACIFICO,COSTERO (HUMEDAL),OCÉANO-MAR,"-104,33144","19,03092",2012-2021,,,,,"10,2",Excelente,203,Aceptable,,,20,Excelente,,,"98,515",Excelente,"96,4",Excelente,"97,85",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL602,COLONIA PADRE HIDALGO-BONANZA,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA DE CUYUTLAN,COSTERO (HUMEDAL),LAGUNA,"-104,32355","19,04383",2012-2021,,,,,"70,3846",Buena calidad,1793,Contaminada,,,86,Excelente,,,"98,3",Excelente,,,,,,,,,,,,,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",ND,ND,SI,NO,ND,SI,SI,SI,COSTERO
DLCOL604W1,LAGUNA DE CUYUTLAN 14 (ARROYO LAS ADJUNTAS),LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,MANZANILLO  LAGUNA CUYUTLAN,LÉNTICO,LAGUNA,"-104,25948","19,04234",2012-2021,<2,Excelente,<10,Excelente,"14,5",Excelente,8664,Contaminada,281,Buena calidad,944,Fuertemente contaminada,,,"65,8",Buena calidad,"79,992",Excelente,"78,085",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"CF,ENT_FEC,",SI,SI,SI,NO,SI,NO,SI,SI,LENTICO
DLCOL609,LAGUNA DE CUYUTLAN 11,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA DE CUYUTLAN,COSTERO (HUMEDAL),LAGUNA,"-104,16694","19,00600",2012-2021,,,,,"72,1875",Buena calidad,12033,Fuertemente contaminada,,,30,Excelente,,,"117,415",Buena calidad,,,,,,,,,,,,,"1,8",Toxicidad moderada,"2,0",Toxicidad moderada,Amarillo,"CF,",ND,ND,SI,NO,ND,SI,SI,SI,COSTERO
DLCOL610,PUENTE TEPALCATES,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA DE CUYUTLAN,COSTERO (HUMEDAL),LAGUNA,"-104,24582","19,01049",2012-2021,,,,,"20,855",Excelente,417,Aceptable,,,10,Excelente,,,"93,95",Excelente,"96,2",Excelente,"91,4",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL611,CANAL DE TEPALCATES,LERMA SANTIAGO PACIFICO,COLIMA,MANZANILLO,RÍO MARABASCO B,LAGUNA DE CUYUTLAN,COSTERO (HUMEDAL),LAGUNA,"-104,25638","19,00376",2012-2021,,,,,"17,5",Excelente,41,Excelente,,,<3,Excelente,,,"100,1",Excelente,"97,55",Excelente,"92,3",Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLCOL612M1,AGUAS ABAJO PLANTA DE TRATAMIENTO CIAPACOV,LERMA SANTIAGO PACIFICO,COLIMA,COQUIMATLÁN,ARMERÍA,RIO COLIMA,LÓTICO,RÍO,"-103,82305","19,18165",2012-2021,"4,06",Buena calidad,"29,1",Aceptable,19,Excelente,24196,Fuertemente contaminada,7326,Fuertemente contaminada,,,"99,21",Excelente,,,,,,,<1,No Toxico,"1,3",Toxicidad baja,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
DLCOL622,CARRETERA LIBRE CRUCERO DE CUYUTLAN,LERMA SANTIAGO PACIFICO,COLIMA,ARMERÍA,RÍO MARABASCO B,LAGUNA DE CUYUTLAN,COSTERO (HUMEDAL),LAGUNA,"-104,03984","18,94119",2012-2021,,,,,79,Aceptable,24196,Fuertemente contaminada,,,41,Excelente,,,"92,8",Excelente,"102,51",Excelente,,,,,,,,,,,"1,7",Toxicidad moderada,<1,No Toxico,Amarillo,"CF,",ND,ND,SI,NO,ND,SI,SI,SI,COSTERO
DLCOL624,LA PRESA,LERMA SANTIAGO PACIFICO,COLIMA,IXTLAHUACÁN,COAHUAYANA 1,RIO SALADO,LÓTICO,RÍO,"-103,70659","19,01096",2012-2021,<2,Excelente,<10,Excelente,11,Excelente,10133,Fuertemente contaminada,"134,5",Buena calidad,,,"102,505",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
